0,1,2,3,4,5,6
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證
700001　新普台新85購01,TW18Z7000011,2018/10/01,上櫃,,RWSCCE,
700018　直得凱基87購01,TW18Z7000185,2018/10/01,上櫃,,RWSCCA,
700028　威剛元富87購01,TW18Z7000284,2018/10/01,上櫃,,RWSCCA,
70002X　世界元大63展02,TW16Z70002X2,2016/09/01,上櫃,,RWTCCE,
70003X　新普元大63展02,TW16Z70003X0,2016/09/01,上櫃,,RWSCCE,
70004X　頎邦元大63展03,TW16Z70004X8,2016/09/01,上櫃,,RWSCCE,
70005X　精華元大66展02,TW16Z70005X5,2016/12/19,上櫃,,RWSCCE,
700064　大國鋼統一86購01,TW18Z7000649,2018/10/02,上櫃,,RWSCCA,
700065　光頡統一86購01,TW18Z7000656,2018/10/02,上櫃,,RWSCCA,
700066　牧德統一86購01,TW18Z7000664,2018/10/02,上櫃,,RWSCCA,
700067　信昌電統一87購01,TW18Z7000672,2018/10/02,上櫃,,RWSCCA,
70006X　良維元大6C展02,TW17Z70006X2,2017/06/19,上櫃,,RWSCCE,
700076　神盾凱基87購01,TW18Z7000763,2018/10/02,上櫃,,RWSCCA,
700083　千如元大87購01,TW18Z7000839,2018/10/02,上櫃,,RWSCCA,
700084　大國鋼元大87購01,TW18Z7000847,2018/10/02,上櫃,,RWSCCA,
700088　尼克森元大87購01,TW18Z7000888,2018/10/02,上櫃,,RWSCCA,
700109　昂寶統一87購01,TW18Z7001092,2018/10/03,上櫃,,RWSCCA,
700134　光頡台新86購01,TW18Z7001340,2018/10/04,上櫃,,RWSCCE,
700144　宇峻元大87購01,TW18Z7001449,2018/10/03,上櫃,,RWSCCA,
700146　和勤元大87購01,TW18Z7001464,2018/10/03,上櫃,,RWSCCA,
700147　和勤元大87購02,TW18Z7001472,2018/10/03,上櫃,,RWSCCA,
700148　雷科元大87購01,TW18Z7001480,2018/10/03,上櫃,,RWSCCA,
700150　聚積元大86購01,TW18Z7001506,2018/10/03,上櫃,,RWSCCA,
700155　鈦昇元大87購01,TW18Z7001555,2018/10/03,上櫃,,RWSCCA,
700161　迅得凱基87購01,TW18Z7001613,2018/10/03,上櫃,,RWSCCA,
700170　盛弘凱基87購01,TW18Z7001704,2018/10/03,上櫃,,RWSCCA,
700189　大江統一86購01,TW18Z7001894,2018/10/04,上櫃,,RWSCCA,
700190　大江統一86購02,TW18Z7001902,2018/10/04,上櫃,,RWSCCA,
